Plant_ID,Category,Common_Name,Green_Acres_URL,Estimate_Confidence,Needs_Green_Acres_Source,Green_Acres_Source_Need_Reason,Mature_Height_ft_est,Mature_Width_ft_est,High_Confidence_Fields,Knowledge_Notes
1,ANNUALS,Alyssum,https://idiggreenacres.com/products/alyssum?variant=13996299354164,High-confidence estimate,FALSE,,0.5,1,Mature_Height_ft_est; Mature_Width_ft_est; Minimum_Spacing_ft_est; Flowers; Flower_Color_Est; Evergreen_Est; Plant_Form_Est; Pool_Suitable_Est; Slope_Suitable_Est; Privacy_Suitable_Est; Plan_Symbol_File; Plan_Symbol_Color,Annual type matched.
305,PERENNIALS,Citronella Geranium,https://idiggreenacres.com/products/citronella-geranium?variant=41872084828329,Medium guesstimate,FALSE,,2,2,Mature_Height_ft_est; Mature_Width_ft_est; Minimum_Spacing_ft_est; Flowers; Flower_Color_Est; Evergreen_Est; Plant_Form_Est; Pool_Suitable_Est; Slope_Suitable_Est; Privacy_Suitable_Est; Plan_Symbol_File; Plan_Symbol_Color,Perennial category only. Size needs source. | Geranium general mature size estimate.
306,PERENNIALS,Cleveland Sage,https://idiggreenacres.com/products/cleveland-sage?variant=40466586828969,High-confidence estimate,FALSE,,3,3,Mature_Height_ft_est; Mature_Width_ft_est; Minimum_Spacing_ft_est; Flowers; Flower_Color_Est; Evergreen_Est; Plant_Form_Est; Pool_Suitable_Est; Slope_Suitable_Est; Privacy_Suitable_Est; Plan_Symbol_File; Plan_Symbol_Color,Rule matched: \bsalvia\b|sage
307,PERENNIALS,Clivia Lily,https://idiggreenacres.com/products/clivia-lily?variant=14013875355700,Low guesstimate,FALSE,,2,2,Mature_Height_ft_est; Mature_Width_ft_est; Minimum_Spacing_ft_est; Flowers; Flower_Color_Est; Evergreen_Est; Plant_Form_Est; Pool_Suitable_Est; Slope_Suitable_Est; Privacy_Suitable_Est; Plan_Symbol_File; Plan_Symbol_Color,Perennial category only. Size needs source. | Broad perennial category fallback. Verify exact mature size.
308,PERENNIALS,Cone Flower,https://idiggreenacres.com/products/cone-flower?variant=31685918097431,Low guesstimate,FALSE,,2,2,Mature_Height_ft_est; Mature_Width_ft_est; Minimum_Spacing_ft_est; Flowers; Flower_Color_Est; Evergreen_Est; Plant_Form_Est; Pool_Suitable_Est; Slope_Suitable_Est; Privacy_Suitable_Est; Plan_Symbol_File; Plan_Symbol_Color,Perennial category only. Size needs source. | Broad perennial category fallback. Verify exact mature size.
309,PERENNIALS,Coreopsis,https://idiggreenacres.com/products/coreopsis?variant=14659226665012,Low guesstimate,FALSE,,2,2,Mature_Height_ft_est; Mature_Width_ft_est; Minimum_Spacing_ft_est; Flowers; Flower_Color_Est; Evergreen_Est; Plant_Form_Est; Pool_Suitable_Est; Slope_Suitable_Est; Privacy_Suitable_Est; Plan_Symbol_File; Plan_Symbol_Color,Perennial category only. Size needs source. | Broad perennial category fallback. Verify exact mature size.
310,PERENNIALS,Coreopsis Early Sunrise,https://idiggreenacres.com/products/coreopsis-early-sunrise?variant=31551973425175,Low guesstimate,FALSE,,2,2,Mature_Height_ft_est; Mature_Width_ft_est; Minimum_Spacing_ft_est; Flowers; Flower_Color_Est; Evergreen_Est; Plant_Form_Est; Pool_Suitable_Est; Slope_Suitable_Est; Privacy_Suitable_Est; Plan_Symbol_File; Plan_Symbol_Color,Perennial category only. Size needs source. | Broad perennial category fallback. Verify exact mature size.
311,PERENNIALS,Coreopsis Moonbeam,https://idiggreenacres.com/products/coreopsis-moonbeam?variant=39384744296617,Low guesstimate,FALSE,,2,2,Mature_Height_ft_est; Mature_Width_ft_est; Minimum_Spacing_ft_est; Flowers; Flower_Color_Est; Evergreen_Est; Plant_Form_Est; Pool_Suitable_Est; Slope_Suitable_Est; Privacy_Suitable_Est; Plan_Symbol_File; Plan_Symbol_Color,Perennial category only. Size needs source. | Broad perennial category fallback. Verify exact mature size.
312,PERENNIALS,Coreopsis Nana,https://idiggreenacres.com/products/coreopsis-nana?variant=13368834654260,Low guesstimate,FALSE,,2,2,Mature_Height_ft_est; Mature_Width_ft_est; Minimum_Spacing_ft_est; Flowers; Flower_Color_Est; Evergreen_Est; Plant_Form_Est; Pool_Suitable_Est; Slope_Suitable_Est; Privacy_Suitable_Est; Plan_Symbol_File; Plan_Symbol_Color,Perennial category only. Size needs source. | Broad perennial category fallback. Verify exact mature size.
313,PERENNIALS,Cotyledon White Sprite,https://idiggreenacres.com/products/cotyledon-white-sprite?variant=31655792181271,Low guesstimate,FALSE,,2,2,Mature_Height_ft_est; Mature_Width_ft_est; Minimum_Spacing_ft_est; Flowers; Flower_Color_Est; Evergreen_Est; Plant_Form_Est; Pool_Suitable_Est; Slope_Suitable_Est; Privacy_Suitable_Est; Plan_Symbol_File; Plan_Symbol_Color,Perennial category only. Size needs source. | Broad perennial category fallback. Verify exact mature size.
314,PERENNIALS,Cranesbill Bishops Form,https://idiggreenacres.com/products/cranesbill-bishops-form?variant=14485499215924,Low guesstimate,FALSE,,2,2,Mature_Height_ft_est; Mature_Width_ft_est; Minimum_Spacing_ft_est; Flowers; Flower_Color_Est; Evergreen_Est; Plant_Form_Est; Pool_Suitable_Est; Slope_Suitable_Est; Privacy_Suitable_Est; Plan_Symbol_File; Plan_Symbol_Color,Perennial category only. Size needs source. | Broad perennial category fallback. Verify exact mature size.
315,PERENNIALS,Cranesbill Rozanne,https://idiggreenacres.com/products/cranesbill-rozanne?variant=31552002195479,Low guesstimate,FALSE,,2,2,Mature_Height_ft_est; Mature_Width_ft_est; Minimum_Spacing_ft_est; Flowers; Flower_Color_Est; Evergreen_Est; Plant_Form_Est; Pool_Suitable_Est; Slope_Suitable_Est; Privacy_Suitable_Est; Plan_Symbol_File; Plan_Symbol_Color,Perennial category only. Size needs source. | Broad perennial category fallback. Verify exact mature size.
316,PERENNIALS,Crassula Marginalis Rubra,https://idiggreenacres.com/products/crassula-marginalis-rubra?variant=14834814910516,High-confidence estimate,FALSE,,1,2,Mature_Height_ft_est; Mature_Width_ft_est; Minimum_Spacing_ft_est; Flowers; Flower_Color_Est; Evergreen_Est; Plant_Form_Est; Pool_Suitable_Est; Slope_Suitable_Est; Privacy_Suitable_Est; Plan_Symbol_File; Plan_Symbol_Color,Rule matched: \baeonium\b|echeveria\b|sedum\b|stonecrop|crassula|sempervivum|kalanchoe|haworthia
317,PERENNIALS,Crassula Ovata Gollum,https://idiggreenacres.com/products/crassula-ovata-gollum?variant=14834840043572,High-confidence estimate,FALSE,,1,2,Mature_Height_ft_est; Mature_Width_ft_est; Minimum_Spacing_ft_est; Flowers; Flower_Color_Est; Evergreen_Est; Plant_Form_Est; Pool_Suitable_Est; Slope_Suitable_Est; Privacy_Suitable_Est; Plan_Symbol_File; Plan_Symbol_Color,Rule matched: \baeonium\b|echeveria\b|sedum\b|stonecrop|crassula|sempervivum|kalanchoe|haworthia
318,PERENNIALS,Crassula Ovata Hobbit,https://idiggreenacres.com/products/crassula-ovata-hobbit?variant=14108595224628,High-confidence estimate,FALSE,,1,2,Mature_Height_ft_est; Mature_Width_ft_est; Minimum_Spacing_ft_est; Flowers; Flower_Color_Est; Evergreen_Est; Plant_Form_Est; Pool_Suitable_Est; Slope_Suitable_Est; Privacy_Suitable_Est; Plan_Symbol_File; Plan_Symbol_Color,Rule matched: \baeonium\b|echeveria\b|sedum\b|stonecrop|crassula|sempervivum|kalanchoe|haworthia
319,PERENNIALS,Crassula Ovata Minor,https://idiggreenacres.com/products/crassula-ovata-minor?variant=14109008461876,High-confidence estimate,FALSE,,1,2,Mature_Height_ft_est; Mature_Width_ft_est; Minimum_Spacing_ft_est; Flowers; Flower_Color_Est; Evergreen_Est; Plant_Form_Est; Pool_Suitable_Est; Slope_Suitable_Est; Privacy_Suitable_Est; Plan_Symbol_File; Plan_Symbol_Color,Rule matched: \baeonium\b|echeveria\b|sedum\b|stonecrop|crassula|sempervivum|kalanchoe|haworthia
320,PERENNIALS,Crassula Ovata Variegated,https://idiggreenacres.com/products/crassula-ovata-variegated?variant=14109068132404,High-confidence estimate,FALSE,,1,2,Mature_Height_ft_est; Mature_Width_ft_est; Minimum_Spacing_ft_est; Flowers; Flower_Color_Est; Evergreen_Est; Plant_Form_Est; Pool_Suitable_Est; Slope_Suitable_Est; Privacy_Suitable_Est; Plan_Symbol_File; Plan_Symbol_Color,Rule matched: \baeonium\b|echeveria\b|sedum\b|stonecrop|crassula|sempervivum|kalanchoe|haworthia
321,PERENNIALS,Crassula Princess Pine,https://idiggreenacres.com/products/crassula-princess-pine?variant=14834784665652,High-confidence estimate,FALSE,,1,2,Mature_Height_ft_est; Mature_Width_ft_est; Minimum_Spacing_ft_est; Flowers; Flower_Color_Est; Evergreen_Est; Plant_Form_Est; Pool_Suitable_Est; Slope_Suitable_Est; Privacy_Suitable_Est; Plan_Symbol_File; Plan_Symbol_Color,Rule matched: \baeonium\b|echeveria\b|sedum\b|stonecrop|crassula|sempervivum|kalanchoe|haworthia
322,PERENNIALS,Creeping Pink Thyme,https://idiggreenacres.com/products/creeping-pink-thyme?variant=28602924793908,High-confidence estimate,FALSE,,0.25,1.5,Mature_Height_ft_est; Mature_Width_ft_est; Minimum_Spacing_ft_est; Flowers; Flower_Color_Est; Evergreen_Est; Plant_Form_Est; Pool_Suitable_Est; Slope_Suitable_Est; Privacy_Suitable_Est; Plan_Symbol_File; Plan_Symbol_Color,Perennial category only. Size needs source. | Thyme groundcover estimate.
323,PERENNIALS,Creeping Red Thyme,https://idiggreenacres.com/products/creeping-red-thyme?variant=28602896613428,High-confidence estimate,FALSE,,0.25,1.5,Mature_Height_ft_est; Mature_Width_ft_est; Minimum_Spacing_ft_est; Flowers; Flower_Color_Est; Evergreen_Est; Plant_Form_Est; Pool_Suitable_Est; Slope_Suitable_Est; Privacy_Suitable_Est; Plan_Symbol_File; Plan_Symbol_Color,Perennial category only. Size needs source. | Thyme groundcover estimate.
324,PERENNIALS,Creeping Wire Vine,https://idiggreenacres.com/products/creeping-wire-vine?variant=31248506421271,Low guesstimate,FALSE,,2,2,Mature_Height_ft_est; Mature_Width_ft_est; Minimum_Spacing_ft_est; Flowers; Flower_Color_Est; Evergreen_Est; Plant_Form_Est; Pool_Suitable_Est; Slope_Suitable_Est; Privacy_Suitable_Est; Plan_Symbol_File; Plan_Symbol_Color,Perennial category only. Size needs source. | Broad perennial category fallback. Verify exact mature size.
325,PERENNIALS,Creeping Zinnia,https://idiggreenacres.com/products/creeping-zinnia?variant=14485629108276,Low guesstimate,FALSE,,2,2,Mature_Height_ft_est; Mature_Width_ft_est; Minimum_Spacing_ft_est; Flowers; Flower_Color_Est; Evergreen_Est; Plant_Form_Est; Pool_Suitable_Est; Slope_Suitable_Est; Privacy_Suitable_Est; Plan_Symbol_File; Plan_Symbol_Color,Perennial category only. Size needs source. | Broad perennial category fallback. Verify exact mature size.
326,PERENNIALS,Crocosmia,https://idiggreenacres.com/products/crocosmia?variant=28939060838452,Low guesstimate,FALSE,,2,2,Mature_Height_ft_est; Mature_Width_ft_est; Minimum_Spacing_ft_est; Flowers; Flower_Color_Est; Evergreen_Est; Plant_Form_Est; Pool_Suitable_Est; Slope_Suitable_Est; Privacy_Suitable_Est; Plan_Symbol_File; Plan_Symbol_Color,Perennial category only. Size needs source. | Broad perennial category fallback. Verify exact mature size.
327,PERENNIALS,Cuphea,https://idiggreenacres.com/products/cuphea?variant=9881293488180,Low guesstimate,FALSE,,2,2,Mature_Height_ft_est; Mature_Width_ft_est; Minimum_Spacing_ft_est; Flowers; Flower_Color_Est; Evergreen_Est; Plant_Form_Est; Pool_Suitable_Est; Slope_Suitable_Est; Privacy_Suitable_Est; Plan_Symbol_File; Plan_Symbol_Color,Perennial category only. Size needs source. | Broad perennial category fallback. Verify exact mature size.
328,PERENNIALS,Curly Rush,https://idiggreenacres.com/products/curly-rush?variant=14483606896692,Low guesstimate,FALSE,,2,2,Mature_Height_ft_est; Mature_Width_ft_est; Minimum_Spacing_ft_est; Flowers; Flower_Color_Est; Evergreen_Est; Plant_Form_Est; Pool_Suitable_Est; Slope_Suitable_Est; Privacy_Suitable_Est; Plan_Symbol_File; Plan_Symbol_Color,Perennial category only. Size needs source. | Broad perennial category fallback. Verify exact mature size.
329,PERENNIALS,Dahlia,https://idiggreenacres.com/products/dahlia?variant=40447816925353,Medium guesstimate,FALSE,,3,2,Mature_Height_ft_est; Mature_Width_ft_est; Minimum_Spacing_ft_est; Flowers; Flower_Color_Est; Evergreen_Est; Plant_Form_Est; Pool_Suitable_Est; Slope_Suitable_Est; Privacy_Suitable_Est; Plan_Symbol_File; Plan_Symbol_Color,Perennial category only. Size needs source. | Dahlia general mature size estimate.
330,PERENNIALS,Dahlia Mystic Series,https://idiggreenacres.com/products/dahlia-mystic-series?variant=31464865562647,Medium guesstimate,FALSE,,3,2,Mature_Height_ft_est; Mature_Width_ft_est; Minimum_Spacing_ft_est; Flowers; Flower_Color_Est; Evergreen_Est; Plant_Form_Est; Pool_Suitable_Est; Slope_Suitable_Est; Privacy_Suitable_Est; Plan_Symbol_File; Plan_Symbol_Color,Perennial category only. Size needs source. | Dahlia general mature size estimate.
331,PERENNIALS,Dahlia Xxl Series,https://idiggreenacres.com/products/dahlia-xxl-series?variant=40851281281193,Medium guesstimate,FALSE,,3,2,Mature_Height_ft_est; Mature_Width_ft_est; Minimum_Spacing_ft_est; Flowers; Flower_Color_Est; Evergreen_Est; Plant_Form_Est; Pool_Suitable_Est; Slope_Suitable_Est; Privacy_Suitable_Est; Plan_Symbol_File; Plan_Symbol_Color,Perennial category only. Size needs source. | Dahlia general mature size estimate.
332,PERENNIALS,Day Of The Dead Color Bowl,https://idiggreenacres.com/products/day-of-the-dead-color-bowl?variant=42636376834217,Low guesstimate,FALSE,,2,2,Mature_Height_ft_est; Mature_Width_ft_est; Minimum_Spacing_ft_est; Flowers; Flower_Color_Est; Evergreen_Est; Plant_Form_Est; Pool_Suitable_Est; Slope_Suitable_Est; Privacy_Suitable_Est; Plan_Symbol_File; Plan_Symbol_Color,Perennial category only. Size needs source. | Broad perennial category fallback. Verify exact mature size.
333,PERENNIALS,Dead Nettle,https://idiggreenacres.com/products/dead-nettle?variant=32901369397271,Low guesstimate,FALSE,,2,2,Mature_Height_ft_est; Mature_Width_ft_est; Minimum_Spacing_ft_est; Flowers; Flower_Color_Est; Evergreen_Est; Plant_Form_Est; Pool_Suitable_Est; Slope_Suitable_Est; Privacy_Suitable_Est; Plan_Symbol_File; Plan_Symbol_Color,Perennial category only. Size needs source. | Broad perennial category fallback. Verify exact mature size.
334,PERENNIALS,Delphinium,https://idiggreenacres.com/products/delphinium?variant=39452435087529,Low guesstimate,FALSE,,2,2,Mature_Height_ft_est; Mature_Width_ft_est; Minimum_Spacing_ft_est; Flowers; Flower_Color_Est; Evergreen_Est; Plant_Form_Est; Pool_Suitable_Est; Slope_Suitable_Est; Privacy_Suitable_Est; Plan_Symbol_File; Plan_Symbol_Color,Perennial category only. Size needs source. | Broad perennial category fallback. Verify exact mature size.
335,PERENNIALS,Diamond Frost Euphorbia,https://idiggreenacres.com/products/diamond-frost-174-euphorbia?variant=45406435082409,Low guesstimate,FALSE,,2,2,Mature_Height_ft_est; Mature_Width_ft_est; Minimum_Spacing_ft_est; Flowers; Flower_Color_Est; Evergreen_Est; Plant_Form_Est; Pool_Suitable_Est; Slope_Suitable_Est; Privacy_Suitable_Est; Plan_Symbol_File; Plan_Symbol_Color,Perennial category only. Size needs source. | Broad perennial category fallback. Verify exact mature size.
336,PERENNIALS,Dianthus,https://idiggreenacres.com/products/dianthus?variant=40529879105705,Low guesstimate,FALSE,,2,2,Mature_Height_ft_est; Mature_Width_ft_est; Minimum_Spacing_ft_est; Flowers; Flower_Color_Est; Evergreen_Est; Plant_Form_Est; Pool_Suitable_Est; Slope_Suitable_Est; Privacy_Suitable_Est; Plan_Symbol_File; Plan_Symbol_Color,Perennial category only. Size needs source. | Broad perennial category fallback. Verify exact mature size.
337,PERENNIALS,Diascia,https://idiggreenacres.com/products/diascia?variant=13999884009524,Low guesstimate,FALSE,,2,2,Mature_Height_ft_est; Mature_Width_ft_est; Minimum_Spacing_ft_est; Flowers; Flower_Color_Est; Evergreen_Est; Plant_Form_Est; Pool_Suitable_Est; Slope_Suitable_Est; Privacy_Suitable_Est; Plan_Symbol_File; Plan_Symbol_Color,Perennial category only. Size needs source. | Broad perennial category fallback. Verify exact mature size.
338,PERENNIALS,Dichondra Silver Falls,https://idiggreenacres.com/products/dichondra-silver-falls?variant=14000449060916,Low guesstimate,FALSE,,2,2,Mature_Height_ft_est; Mature_Width_ft_est; Minimum_Spacing_ft_est; Flowers; Flower_Color_Est; Evergreen_Est; Plant_Form_Est; Pool_Suitable_Est; Slope_Suitable_Est; Privacy_Suitable_Est; Plan_Symbol_File; Plan_Symbol_Color,Perennial category only. Size needs source. | Broad perennial category fallback. Verify exact mature size.
339,PERENNIALS,Digiplexis Illumination Series,https://idiggreenacres.com/products/digiplexis-174-illumination-series?variant=28621369901108,Low guesstimate,FALSE,,2,2,Mature_Height_ft_est; Mature_Width_ft_est; Minimum_Spacing_ft_est; Flowers; Flower_Color_Est; Evergreen_Est; Plant_Form_Est; Pool_Suitable_Est; Slope_Suitable_Est; Privacy_Suitable_Est; Plan_Symbol_File; Plan_Symbol_Color,Perennial category only. Size needs source. | Broad perennial category fallback. Verify exact mature size.
340,PERENNIALS,Dinnerplate Dahlia,https://idiggreenacres.com/products/dinnerplate-dahlia?variant=28734319624244,Medium guesstimate,FALSE,,3,2,Mature_Height_ft_est; Mature_Width_ft_est; Minimum_Spacing_ft_est; Flowers; Flower_Color_Est; Evergreen_Est; Plant_Form_Est; Pool_Suitable_Est; Slope_Suitable_Est; Privacy_Suitable_Est; Plan_Symbol_File; Plan_Symbol_Color,Perennial category only. Size needs source. | Dahlia general mature size estimate.
341,PERENNIALS,Dusty Miller Silver Dust,https://idiggreenacres.com/products/dusty-miller-silver-dust?variant=31740394405911,Low guesstimate,FALSE,,2,2,Mature_Height_ft_est; Mature_Width_ft_est; Minimum_Spacing_ft_est; Flowers; Flower_Color_Est; Evergreen_Est; Plant_Form_Est; Pool_Suitable_Est; Slope_Suitable_Est; Privacy_Suitable_Est; Plan_Symbol_File; Plan_Symbol_Color,Perennial category only. Size needs source. | Broad perennial category fallback. Verify exact mature size.
342,PERENNIALS,Dwarf Mondo Grass,https://idiggreenacres.com/products/dwarf-mondo-grass?variant=41974732095657,High-confidence estimate,FALSE,,0.75,1,Mature_Height_ft_est; Mature_Width_ft_est; Minimum_Spacing_ft_est; Flowers; Evergreen_Est; Plant_Form_Est; Pool_Suitable_Est; Slope_Suitable_Est; Privacy_Suitable_Est; Plan_Symbol_File; Plan_Symbol_Color,Perennial category only. Size needs source. | Mondo grass estimate.
343,PERENNIALS,Dymondia,https://idiggreenacres.com/products/dymondia?variant=9881325535284,High-confidence estimate,FALSE,,0.25,2,Mature_Height_ft_est; Mature_Width_ft_est; Minimum_Spacing_ft_est; Flowers; Flower_Color_Est; Evergreen_Est; Plant_Form_Est; Pool_Suitable_Est; Slope_Suitable_Est; Privacy_Suitable_Est; Plan_Symbol_File; Plan_Symbol_Color,Rule matched: \bdymondia\b
344,PERENNIALS,Echeveria Afterglow,https://idiggreenacres.com/products/echeveria-afterglow?variant=14109153296436,High-confidence estimate,FALSE,,1,2,Mature_Height_ft_est; Mature_Width_ft_est; Minimum_Spacing_ft_est; Flowers; Flower_Color_Est; Evergreen_Est; Plant_Form_Est; Pool_Suitable_Est; Slope_Suitable_Est; Privacy_Suitable_Est; Plan_Symbol_File; Plan_Symbol_Color,Rule matched: \baeonium\b|echeveria\b|sedum\b|stonecrop|crassula|sempervivum|kalanchoe|haworthia
345,PERENNIALS,Echeveria Arrow,https://idiggreenacres.com/products/echeveria-arrow?variant=14109182427188,High-confidence estimate,FALSE,,1,2,Mature_Height_ft_est; Mature_Width_ft_est; Minimum_Spacing_ft_est; Flowers; Flower_Color_Est; Evergreen_Est; Plant_Form_Est; Pool_Suitable_Est; Slope_Suitable_Est; Privacy_Suitable_Est; Plan_Symbol_File; Plan_Symbol_Color,Rule matched: \baeonium\b|echeveria\b|sedum\b|stonecrop|crassula|sempervivum|kalanchoe|haworthia
346,PERENNIALS,Echeveria Black Prince,https://idiggreenacres.com/products/echeveria-black-prince?variant=14109204709428,High-confidence estimate,FALSE,,1,2,Mature_Height_ft_est; Mature_Width_ft_est; Minimum_Spacing_ft_est; Flowers; Flower_Color_Est; Evergreen_Est; Plant_Form_Est; Pool_Suitable_Est; Slope_Suitable_Est; Privacy_Suitable_Est; Plan_Symbol_File; Plan_Symbol_Color,Rule matched: \baeonium\b|echeveria\b|sedum\b|stonecrop|crassula|sempervivum|kalanchoe|haworthia
347,PERENNIALS,Echeveria Blue Bird,https://idiggreenacres.com/products/echeveria-blue-bird?variant=38053781700777,High-confidence estimate,FALSE,,1,2,Mature_Height_ft_est; Mature_Width_ft_est; Minimum_Spacing_ft_est; Flowers; Flower_Color_Est; Evergreen_Est; Plant_Form_Est; Pool_Suitable_Est; Slope_Suitable_Est; Privacy_Suitable_Est; Plan_Symbol_File; Plan_Symbol_Color,Rule matched: \baeonium\b|echeveria\b|sedum\b|stonecrop|crassula|sempervivum|kalanchoe|haworthia
348,PERENNIALS,Echeveria Blue Prince,https://idiggreenacres.com/products/echeveria-blue-prince?variant=14123817369652,High-confidence estimate,FALSE,,1,2,Mature_Height_ft_est; Mature_Width_ft_est; Minimum_Spacing_ft_est; Flowers; Flower_Color_Est; Evergreen_Est; Plant_Form_Est; Pool_Suitable_Est; Slope_Suitable_Est; Privacy_Suitable_Est; Plan_Symbol_File; Plan_Symbol_Color,Rule matched: \baeonium\b|echeveria\b|sedum\b|stonecrop|crassula|sempervivum|kalanchoe|haworthia
349,PERENNIALS,Echeveria Elegans,https://idiggreenacres.com/products/echeveria-elegans?variant=14123892801588,High-confidence estimate,FALSE,,1,2,Mature_Height_ft_est; Mature_Width_ft_est; Minimum_Spacing_ft_est; Flowers; Flower_Color_Est; Evergreen_Est; Plant_Form_Est; Pool_Suitable_Est; Slope_Suitable_Est; Privacy_Suitable_Est; Plan_Symbol_File; Plan_Symbol_Color,Rule matched: \baeonium\b|echeveria\b|sedum\b|stonecrop|crassula|sempervivum|kalanchoe|haworthia
350,PERENNIALS,Echeveria Frosty,https://idiggreenacres.com/products/echeveria-frosty?variant=14123959287860,High-confidence estimate,FALSE,,1,2,Mature_Height_ft_est; Mature_Width_ft_est; Minimum_Spacing_ft_est; Flowers; Flower_Color_Est; Evergreen_Est; Plant_Form_Est; Pool_Suitable_Est; Slope_Suitable_Est; Privacy_Suitable_Est; Plan_Symbol_File; Plan_Symbol_Color,Rule matched: \baeonium\b|echeveria\b|sedum\b|stonecrop|crassula|sempervivum|kalanchoe|haworthia
351,PERENNIALS,Echeveria Multicaulis,https://idiggreenacres.com/products/echeveria-multicaulis?variant=14124444975156,High-confidence estimate,FALSE,,1,2,Mature_Height_ft_est; Mature_Width_ft_est; Minimum_Spacing_ft_est; Flowers; Flower_Color_Est; Evergreen_Est; Plant_Form_Est; Pool_Suitable_Est; Slope_Suitable_Est; Privacy_Suitable_Est; Plan_Symbol_File; Plan_Symbol_Color,Rule matched: \baeonium\b|echeveria\b|sedum\b|stonecrop|crassula|sempervivum|kalanchoe|haworthia
352,PERENNIALS,Echeveria Nodulosa,https://idiggreenacres.com/products/echeveria-nodulosa?variant=43032805474473,High-confidence estimate,FALSE,,1,2,Mature_Height_ft_est; Mature_Width_ft_est; Minimum_Spacing_ft_est; Flowers; Flower_Color_Est; Evergreen_Est; Plant_Form_Est; Pool_Suitable_Est; Slope_Suitable_Est; Privacy_Suitable_Est; Plan_Symbol_File; Plan_Symbol_Color,Rule matched: \baeonium\b|echeveria\b|sedum\b|stonecrop|crassula|sempervivum|kalanchoe|haworthia
353,PERENNIALS,Echeveria Parva,https://idiggreenacres.com/products/echeveria-parva?variant=14124583223348,High-confidence estimate,FALSE,,1,2,Mature_Height_ft_est; Mature_Width_ft_est; Minimum_Spacing_ft_est; Flowers; Flower_Color_Est; Evergreen_Est; Plant_Form_Est; Pool_Suitable_Est; Slope_Suitable_Est; Privacy_Suitable_Est; Plan_Symbol_File; Plan_Symbol_Color,Rule matched: \baeonium\b|echeveria\b|sedum\b|stonecrop|crassula|sempervivum|kalanchoe|haworthia
354,PERENNIALS,Echeveria Pelusida,https://idiggreenacres.com/products/echeveria-pelusida?variant=14124658065460,High-confidence estimate,FALSE,,1,2,Mature_Height_ft_est; Mature_Width_ft_est; Minimum_Spacing_ft_est; Flowers; Flower_Color_Est; Evergreen_Est; Plant_Form_Est; Pool_Suitable_Est; Slope_Suitable_Est; Privacy_Suitable_Est; Plan_Symbol_File; Plan_Symbol_Color,Rule matched: \baeonium\b|echeveria\b|sedum\b|stonecrop|crassula|sempervivum|kalanchoe|haworthia
355,PERENNIALS,Echeveria Perle Von Nurnberg,https://idiggreenacres.com/products/echeveria-perle-von-nurnberg?variant=31231122341911,High-confidence estimate,FALSE,,1,2,Mature_Height_ft_est; Mature_Width_ft_est; Minimum_Spacing_ft_est; Flowers; Flower_Color_Est; Evergreen_Est; Plant_Form_Est; Pool_Suitable_Est; Slope_Suitable_Est; Privacy_Suitable_Est; Plan_Symbol_File; Plan_Symbol_Color,Rule matched: \baeonium\b|echeveria\b|sedum\b|stonecrop|crassula|sempervivum|kalanchoe|haworthia
356,PERENNIALS,Echeveria Pulidonis,https://idiggreenacres.com/products/echeveria-pulidonis?variant=31663546892311,High-confidence estimate,FALSE,,1,2,Mature_Height_ft_est; Mature_Width_ft_est; Minimum_Spacing_ft_est; Flowers; Flower_Color_Est; Evergreen_Est; Plant_Form_Est; Pool_Suitable_Est; Slope_Suitable_Est; Privacy_Suitable_Est; Plan_Symbol_File; Plan_Symbol_Color,Rule matched: \baeonium\b|echeveria\b|sedum\b|stonecrop|crassula|sempervivum|kalanchoe|haworthia
357,PERENNIALS,Echeveria Red Tip,https://idiggreenacres.com/products/echeveria-red-tip?variant=14124773507124,High-confidence estimate,FALSE,,1,2,Mature_Height_ft_est; Mature_Width_ft_est; Minimum_Spacing_ft_est; Flowers; Flower_Color_Est; Evergreen_Est; Plant_Form_Est; Pool_Suitable_Est; Slope_Suitable_Est; Privacy_Suitable_Est; Plan_Symbol_File; Plan_Symbol_Color,Rule matched: \baeonium\b|echeveria\b|sedum\b|stonecrop|crassula|sempervivum|kalanchoe|haworthia
358,PERENNIALS,Echeveria Topsy Turvy,https://idiggreenacres.com/products/echeveria-topsy-turvy?variant=14124820561972,High-confidence estimate,FALSE,,1,2,Mature_Height_ft_est; Mature_Width_ft_est; Minimum_Spacing_ft_est; Flowers; Flower_Color_Est; Evergreen_Est; Plant_Form_Est; Pool_Suitable_Est; Slope_Suitable_Est; Privacy_Suitable_Est; Plan_Symbol_File; Plan_Symbol_Color,Rule matched: \baeonium\b|echeveria\b|sedum\b|stonecrop|crassula|sempervivum|kalanchoe|haworthia
359,PERENNIALS,Echibeckia Summerina,https://idiggreenacres.com/products/echibeckia-8482-summerina-174?variant=29178465386548,Low guesstimate,FALSE,,2,2,Mature_Height_ft_est; Mature_Width_ft_est; Minimum_Spacing_ft_est; Flowers; Flower_Color_Est; Evergreen_Est; Plant_Form_Est; Pool_Suitable_Est; Slope_Suitable_Est; Privacy_Suitable_Est; Plan_Symbol_File; Plan_Symbol_Color,Perennial category only. Size needs source. | Broad perennial category fallback. Verify exact mature size.
