Common_Name,Botanical_Name,Category,Plan_Symbol_File,Plan_Symbol_Type,Icon_Label,Plan_Symbol_Color
Tomato 'Pineapple Pig',Wild Boar Farms,HERBS AND VEGETABLES,46.svg,palm,Palm,#8DB675
Tomato 'Pink Berkeley Tie-Dye',Wild Boar Farms,HERBS AND VEGETABLES,27.svg,succulent-star-rosette,Succulent star rosette,#E1A6C5
Tomato 'Pork Chop',Wild Boar Farms,HERBS AND VEGETABLES,27.svg,succulent-star-rosette,Succulent star rosette,#C99DB5
Tomato 'Pruden's Purple',Solanum lycopersicum,HERBS AND VEGETABLES,33.svg,strappy-rosette,Strappy rosette,#D4A0CD
Tomato,Solanum lycopersicum,HERBS AND VEGETABLES,84.svg,round-flower-cluster,Round flower cluster,#D0A9C6
Tomato,Solanum lycopersicum,HERBS AND VEGETABLES,84.svg,round-flower-cluster,Round flower cluster,#D0A9C6
Tomato 'Roma',Solanum lycopersicum,HERBS AND VEGETABLES,61.svg,textured-low-mat,Textured low mat,#CFA5C0
Tomato 'San Marzano',Solanum lycopersicum,HERBS AND VEGETABLES,79.svg,split-leaf-accent,Split leaf accent,#C99CBB
Tomato 'Shady Lady',Solanum lycopersicum,HERBS AND VEGETABLES,81.svg,round-edible-rosettes,Round edible rosettes,#BA82A2
Tomato 'Stupice',Solanum lycopersicum,HERBS AND VEGETABLES,79.svg,split-leaf-accent,Split leaf accent,#CA82BB
Tomato,Solanum lycopersicum,HERBS AND VEGETABLES,84.svg,round-flower-cluster,Round flower cluster,#D0A9C6
Tomato,Solanum lycopersicum,HERBS AND VEGETABLES,84.svg,round-flower-cluster,Round flower cluster,#D0A9C6
Tomato,Solanum lycopersicum,HERBS AND VEGETABLES,84.svg,round-flower-cluster,Round flower cluster,#D0A9C6
Tomato 'Sweet 100',Solanum lycopersicum,HERBS AND VEGETABLES,62.svg,lobed-groundcover,Lobed groundcover,#C9A1C3
Tomato 'Whopper',Solanum lycopersicum,HERBS AND VEGETABLES,79.svg,split-leaf-accent,Split leaf accent,#CE97C4
Tomato,Solanum lycopersicum,HERBS AND VEGETABLES,84.svg,round-flower-cluster,Round flower cluster,#D0A9C6
Trailing Rosemary Herb,Rosmarinus officinalis 'Prostratus',HERBS AND VEGETABLES,31.svg,small-round-leaf-cluster,Small round leaf cluster,#DB78A6
Onion 'Walla Walla',Allium cepa,HERBS AND VEGETABLES,108.svg,sharp-radial-grass,Sharp radial grass,#BF7EBA
Watermelon 'Crimson Sugar Baby',Citrullus lanatus,HERBS AND VEGETABLES,98.svg,trailing-leaf-mass,Trailing leaf mass,#D7A2C0
Watermelon,Citrullus lanatus,HERBS AND VEGETABLES,97.svg,round-leaf-vine-canopy,Round leaf vine canopy,#BF8CB1
Watermelon 'Sugar Baby',Citrullus lanatus,HERBS AND VEGETABLES,38.svg,vine-leaf-trail,Vine leaf trail,#BF83A7
Winter Savory,Satureja montana,HERBS AND VEGETABLES,84.svg,round-flower-cluster,Round flower cluster,#CE9CCA
Yellow Corn,Zea mays,HERBS AND VEGETABLES,28.svg,round-edible-cluster,Round edible cluster,#D5D14D
Yellow Onion,Allium cepa,HERBS AND VEGETABLES,69.svg,fan-grass-rosette,Fan grass rosette,#D5932F
Flowering Maple,Abutilon hybrid,PERENNIALS,38.svg,vine-leaf-trail,Vine leaf trail,#7FB16F
Aeonium,,PERENNIALS,15.svg,geometric-rosette,Geometric rosette,#D8A7C2
Aeonium 'Mardi Gras',Aeonium 'Mardi Gras',PERENNIALS,83.svg,needle-leaf-clump,Needle leaf clump,#D59ABD
Aeonium,Aeonium arboreum 'Zwartkop',PERENNIALS,39.svg,leaf-star-rosette,Leaf star rosette,#D095C4
Agastache,,PERENNIALS,45.svg,radial-flower-rosette,Radial flower rosette,#CC8AB7
Ajuga 'Burgundy Glow',Ajuga reptans 'Burgundy Glow',PERENNIALS,55.svg,spiral-round-shrub,Spiral round shrub,#D496CA
Ajuga,Ajuga reptans 'Catlin's Giant',PERENNIALS,98.svg,trailing-leaf-mass,Trailing leaf mass,#C889B1
Aloe 'Bright Star',Aloe 'Bright Star',PERENNIALS,34.svg,pointed-succulent-rosette,Pointed succulent rosette,#C27FAF
Aloe 'Green Sand',Aloe 'Green Sand',PERENNIALS,72.svg,simple-leaf-rosette,Simple leaf rosette,#C181A4
Aloe 'Juvenna',,PERENNIALS,44.svg,succulent-leaf-cluster,Succulent leaf cluster,#D293B7
Aloe 'Variegata',,PERENNIALS,27.svg,succulent-star-rosette,Succulent star rosette,#C38EA7
Aloe Vera,Aloe Vera,PERENNIALS,101.svg,layered-flower-rosette,Layered flower rosette,#D79ED1
Angel Wings Senecio,Senecio candicans 'Angel Wings',PERENNIALS,27.svg,succulent-star-rosette,Succulent star rosette,#D79EC1
Aptenia 'Red Apple',Aptenia cordifolia 'Red Apple',PERENNIALS,75.svg,textured-round-groundcover,Textured round groundcover,#D76B6B
Columbine,Aquilegia Assorted,PERENNIALS,80.svg,small-leaf-rosette,Small leaf rosette,#D18FC7
Arctotis,Arctotis Assorted,PERENNIALS,7.svg,irregular-shrub-canopy,Irregular shrub canopy,#C58CBD
Artemisia 'Powis Castle',Artemisia x 'Powis Castle',PERENNIALS,87.svg,dense-wavy-shrub,Dense wavy shrub,#C488B6
Artemisia 'Silver Mound',Artemisia schmidtiana 'Silver Mound',PERENNIALS,73.svg,cloud-shrub-mound,Cloud shrub mound,#7FA5A4
Artichoke,Cynara scolymus,PERENNIALS,44.svg,succulent-leaf-cluster,Succulent leaf cluster,#C48DA7
Asiatic Lily,Lilium asiatic,PERENNIALS,84.svg,round-flower-cluster,Round flower cluster,#C07DB7
Assorted Succulent Pack,Succulent Assorted,PERENNIALS,15.svg,geometric-rosette,Geometric rosette,#C898B3
Astilbe,Astilbe japonica,PERENNIALS,101.svg,layered-flower-rosette,Layered flower rosette,#C572BC
Baby's Tears,Soleirolia soleirolii,PERENNIALS,92.svg,smooth-lobed-groundcover,Smooth lobed groundcover,#CFA6C4
Bacopa,Sutera cordata,PERENNIALS,48.svg,upright-stem-burst,Upright stem burst,#CDA7C0
Begonia rex,Begonia rex,PERENNIALS,79.svg,split-leaf-accent,Split leaf accent,#C37AB2
Berkeley Sedge,Carex divulsa (C. tumulicola),PERENNIALS,108.svg,sharp-radial-grass,Sharp radial grass,#94945C
Bidens,Bidens Assorted,PERENNIALS,49.svg,airy-flower-spike,Airy flower spike,#C180A8
Black Mondo Grass,Ophiopogon planiscapus 'Nigrescens',PERENNIALS,65.svg,segmented-spiky-plant,Segmented spiky plant,#B0AD59
Blanket Flower,Gaillardia Assorted,PERENNIALS,1.svg,flowering-accent,Flowering accent,#BB8CA8
Blazing Star,Liatris spicata,PERENNIALS,65.svg,segmented-spiky-plant,Segmented spiky plant,#CAA5B7
Bleeding Heart,Dicentra spp.,PERENNIALS,14.svg,broadleaf-rosette,Broadleaf rosette,#D09BB3
Bloomify&#8482; Lantana,,PERENNIALS,14.svg,broadleaf-rosette,Broadleaf rosette,#9FC795
Blue Fescue,Festuca glauca,PERENNIALS,69.svg,fan-grass-rosette,Fan grass rosette,#8E90BE
Blue Lithodora,Lithodora diffusa,PERENNIALS,91.svg,loose-groundcover-mass,Loose groundcover mass,#9FACD6
Blue My Mind&#174; Dwarf Morning Glory,Evolvulus 'Blue My Mind',PERENNIALS,102.svg,flowering-branch-cluster,Flowering branch cluster,#A39AD6
Blue Oat Grass,Helictotrichon sempervirens,PERENNIALS,100.svg,angular-smooth-rosette,Angular smooth rosette,#7A74B9
Blue Spruce Stonecrop,Sedum reflexum 'Blue Spruce',PERENNIALS,34.svg,pointed-succulent-rosette,Pointed succulent rosette,#908DC9
Blue Star Creeper,Isotoma fluviatilis 'Blue Star',PERENNIALS,37.svg,swirling-grass-vine,Swirling grass/vine,#9A9DD6
Brachyscome,Brachyscome Hybrid,PERENNIALS,44.svg,succulent-leaf-cluster,Succulent leaf cluster,#D6A3CD
Lomandra Mat Rush Breeze&#8482;,Lomandra longifolia 'Breeze',PERENNIALS,25.svg,fine-grass-burst,Fine grass burst,#99A76C
Bright Lights&#8482; Horizon&#8482; Sunset African Daisy,Osteospermum fruticosum,PERENNIALS,66.svg,speckled-groundcover-mat,Speckled groundcover mat,#CFABC8
Ajuga 'Bronze',Ajuga reptans 'Bronze',PERENNIALS,86.svg,branching-vine-shrub,Branching vine/shrub,#C572AE
Buchanan's Sage,Salvia buchananii,PERENNIALS,76.svg,dotted-flower-rosette,Dotted flower rosette,#9596CB
Bush Strawflower,Bracteantha bracteata,PERENNIALS,1.svg,flowering-accent,Flowering accent,#C180AE
Cadet&#8482; Verbena,Cadet&#8482; Verbena Series,PERENNIALS,86.svg,branching-vine-shrub,Branching vine/shrub,#A8C195
Caladium,,PERENNIALS,84.svg,round-flower-cluster,Round flower cluster,#C27BA1
Caladium Heart to Heart&#174; Series,Caladium Heart to Heart&#174;,PERENNIALS,100.svg,angular-smooth-rosette,Angular smooth rosette,#C799BD
Million Bells,,PERENNIALS,106.svg,spiral-groundcover-mass,Spiral groundcover mass,#C492B8
California Fuchsia,Epilobium / Zauschneria californica,PERENNIALS,8.svg,flowing-groundcover,Flowing groundcover,#DF827D
California Gray Rush,Juncus patens,PERENNIALS,64.svg,fine-radial-perennial,Fine radial perennial,#D18FB5
California Red Buckwheat,Eriogonum grande rubescens,PERENNIALS,15.svg,geometric-rosette,Geometric rosette,#DF8269
California White Sage,Salvia apiana,PERENNIALS,41.svg,sharp-star-accent,Sharp star accent,#8FA2CC
Calla Lily Hybrids,Zantedeschia aethiopica,PERENNIALS,1.svg,flowering-accent,Flowering accent,#C8A2C3
Campfire Crassula,Crassula capitella 'Campfire',PERENNIALS,45.svg,radial-flower-rosette,Radial flower rosette,#CA7DA4
Catmint,Nepeta x faassenii,PERENNIALS,18.svg,spiky-grass-burst,Spiky grass burst,#C497B4
Catmint 'Cat's Pajamas',Nepeta hybrid,PERENNIALS,83.svg,needle-leaf-clump,Needle leaf clump,#BF78A3
Catmint 'Walker's Low',Nepeta racemosa 'Walker's Low',PERENNIALS,45.svg,radial-flower-rosette,Radial flower rosette,#D6A4C1
Cheyenne Spirit Coneflower,Echinacea hybrida 'Cheyenne Spirit',PERENNIALS,101.svg,layered-flower-rosette,Layered flower rosette,#C27FB8
Chocolate Cosmos,Cosmos atrosanguineus,PERENNIALS,58.svg,simple-flower,Simple flower,#C785A7
Cigar Plant,Cuphea ignea,PERENNIALS,3.svg,leafy-rosette,Leafy rosette,#CA96B6
Citronella Geranium,Pelargonium citrosum,PERENNIALS,59.svg,lobed-flower,Lobed flower,#B785B2
Cleveland Sage,Salvia clevelandii,PERENNIALS,49.svg,airy-flower-spike,Airy flower spike,#7A7DB3
Clivia Lily,Clivia Hybrid,PERENNIALS,63.svg,round-petal-flower,Round petal flower,#C195AD
Coneflower,Echinacea purpurea,PERENNIALS,84.svg,round-flower-cluster,Round flower cluster,#CF9BBC
Coreopsis,Coreopsis Assorted,PERENNIALS,64.svg,fine-radial-perennial,Fine radial perennial,#E8A354
Coreopsis 'Early Sunrise',Coreopsis grandiflora 'Early Sunrise',PERENNIALS,53.svg,daisy-flower,Daisy flower,#E2D564
Coreopsis 'Moonbeam',Coreopsis verticillata 'Moonbeam',PERENNIALS,53.svg,daisy-flower,Daisy flower,#DCB037
Coreopsis 'Nana',Coreopsis auriculata 'Nana',PERENNIALS,77.svg,lobed-foliage-accent,Lobed foliage accent,#E6D65B
Cotyledon 'White Sprite',Cotyledon 'White Sprite',PERENNIALS,108.svg,sharp-radial-grass,Sharp radial grass,#C9CDC1
Cranesbill 'Bishops Form',Erodium variabile 'Bishops Form',PERENNIALS,17.svg,smooth-spreading-mass,Smooth spreading mass,#C587B0
Cranesbill 'Rozanne',Geranium x 'Rozanne',PERENNIALS,91.svg,loose-groundcover-mass,Loose groundcover mass,#CE9CC5
Crassula 'Calico Kitten',Crassula marginalis rubra,PERENNIALS,72.svg,simple-leaf-rosette,Simple leaf rosette,#D49BC1
Crassula ovata 'Gollum',Crassula ovata 'Gollum',PERENNIALS,34.svg,pointed-succulent-rosette,Pointed succulent rosette,#B8849F
Crassula ovata 'Hobbit',Crassula ovata 'Hobbit',PERENNIALS,70.svg,wide-petal-rosette,Wide petal rosette,#CCA9BC
Crassula ovata 'Minor',Crassula ovata 'Minor',PERENNIALS,100.svg,angular-smooth-rosette,Angular smooth rosette,#CF91CA
Crassula ovata 'Variegated',Crassula ovata 'Variegated',PERENNIALS,108.svg,sharp-radial-grass,Sharp radial grass,#D199B4
Crassula 'Princess Pine',Crassula 'Princess Pine',PERENNIALS,41.svg,sharp-star-accent,Sharp star accent,#CAA0BA
Creeping Thyme 'Pink',Thymus praecox arcticus 'Pink',PERENNIALS,110.svg,dense-broken-shrub,Dense broken shrub,#DA9DC5
Creeping Thyme 'Red',Thymus praecox-arcticus 'Red',PERENNIALS,78.svg,airy-vine-cluster,Airy vine cluster,#CC8AC2
Creeping Wire Vine,Muehlenbeckia axillaris,PERENNIALS,36.svg,vine-branching,Vine branching,#C28FB4
Creeping Zinnia,Sanvitalia procumbens 'Sunbini',PERENNIALS,36.svg,vine-branching,Vine branching,#D5A4D1
Crocosmia,,PERENNIALS,35.svg,small-flowering-mound,Small flowering mound,#D0A4C8
False Heather,Cuphea hyssopifolia,PERENNIALS,63.svg,round-petal-flower,Round petal flower,#BA7DA3
Curly Rush,Juncus effusus 'Spiralis',PERENNIALS,108.svg,sharp-radial-grass,Sharp radial grass,#C383AC
Dahlia,,PERENNIALS,59.svg,lobed-flower,Lobed flower,#C67BB7
Dahlia 'Mystic' Series,,PERENNIALS,39.svg,leaf-star-rosette,Leaf star rosette,#D0A4C2
Dahlia 'XXL Series',,PERENNIALS,14.svg,broadleaf-rosette,Broadleaf rosette,#CC9AC4
Color Bowl,Color Bowl Assorted,PERENNIALS,31.svg,small-round-leaf-cluster,Small round leaf cluster,#BF78BA
Dead Nettle,Lamium maculatum,PERENNIALS,85.svg,tangled-vine-mass,Tangled vine mass,#D49BB5
Delphinium,Delphinium Assorted,PERENNIALS,71.svg,fern-palmate,Fern palmate,#C572A9
Diamond Frost&#174; Euphorbia,Euphorbia hybrid,PERENNIALS,3.svg,leafy-rosette,Leafy rosette,#C57CB5
Dianthus,Dianthus Assorted,PERENNIALS,14.svg,broadleaf-rosette,Broadleaf rosette,#D6A9C3
Diascia,,PERENNIALS,62.svg,lobed-groundcover,Lobed groundcover,#D2A7C9
Dichondra,Dichondra argentea 'Silver Falls',PERENNIALS,36.svg,vine-branching,Vine branching,#8CB0B7
Digiplexis&#174; 'Illumination Series',,PERENNIALS,101.svg,layered-flower-rosette,Layered flower rosette,#BD7FB8
Dinnerplate Dahlia,,PERENNIALS,3.svg,leafy-rosette,Leafy rosette,#CD9DBD
Dusty Miller 'Silver Dust',Senecio cineraria,PERENNIALS,101.svg,layered-flower-rosette,Layered flower rosette,#B6BA9B
Dwarf Mondo Grass,Ophiopogon japonicus 'Nana',PERENNIALS,75.svg,textured-round-groundcover,Textured round groundcover,#A19F54
Silver Carpet,Dymondia margaretae,PERENNIALS,17.svg,smooth-spreading-mass,Smooth spreading mass,#9CB1AE
Echeveria 'Afterglow',,PERENNIALS,101.svg,layered-flower-rosette,Layered flower rosette,#8AA49F
Echeveria,,PERENNIALS,63.svg,round-petal-flower,Round petal flower,#7E9D9C
Echeveria 'Black Prince',Echeveria 'Black Prince',PERENNIALS,95.svg,petal-ring-flower,Petal ring flower,#93BBB7
Echeveria,Echeveria 'Blue Bird',PERENNIALS,95.svg,petal-ring-flower,Petal ring flower,#776DC1
Echeveria 'Blue Prince',Echeveria 'Blue Prince',PERENNIALS,80.svg,small-leaf-rosette,Small leaf rosette,#878FC4
Echeveria,,PERENNIALS,63.svg,round-petal-flower,Round petal flower,#7E9D9C
Echeveria 'Frosty',,PERENNIALS,34.svg,pointed-succulent-rosette,Pointed succulent rosette,#A1B1AE
Echeveria 'Multicaulis',,PERENNIALS,95.svg,petal-ring-flower,Petal ring flower,#8D9FA1
Echeveria nodulosa,Echeveria nodulosa,PERENNIALS,27.svg,succulent-star-rosette,Succulent star rosette,#9CC1BD
Echeveria,,PERENNIALS,63.svg,round-petal-flower,Round petal flower,#7E9D9C
Echeveria,,PERENNIALS,63.svg,round-petal-flower,Round petal flower,#7E9D9C
Echeveria,Echeveria 'Perle Von Nurnberg',PERENNIALS,63.svg,round-petal-flower,Round petal flower,#8C9EA2
Echeveria 'Pulidonis',,PERENNIALS,45.svg,radial-flower-rosette,Radial flower rosette,#82B2A7
Echeveria,Echeveria agavoides 'Red Tip',PERENNIALS,95.svg,petal-ring-flower,Petal ring flower,#E57A72
Echeveria 'Topsy Turvy',Echeveria 'Topsy Turvy',PERENNIALS,45.svg,radial-flower-rosette,Radial flower rosette,#8BAEAB
Echibeckia&#8482; Summerina&#174;,,PERENNIALS,31.svg,small-round-leaf-cluster,Small round leaf cluster,#C686B9
Elephant Bush,Portulacaria afra,PERENNIALS,80.svg,small-leaf-rosette,Small leaf rosette,#C090B5
Thyme 'Elfin',Thymus serpyllum,PERENNIALS,79.svg,split-leaf-accent,Split leaf accent,#CD9EB7
Enduro&#8482; Verbena,Enduro&#8482; Verbena Series,PERENNIALS,49.svg,airy-flower-spike,Airy flower spike,#A0C79E
Ivy 'English',Hedera helix,PERENNIALS,97.svg,round-leaf-vine-canopy,Round leaf vine canopy,#CB8BC1
Euphorbia,Euphorbia x martinii 'Ascot Rainbow',PERENNIALS,82.svg,small-flower-cluster,Small flower cluster,#BF87B4
Euphorbia,Euphorbia hypericifolia,PERENNIALS,64.svg,fine-radial-perennial,Fine radial perennial,#C893C1
Euphorbia 'Sticks on Fire',Euphorbia tirucalli 'Sticks on Fire',PERENNIALS,102.svg,flowering-branch-cluster,Flowering branch cluster,#D0AEC5
Euryops Daisy,Euryops pectinatus,PERENNIALS,53.svg,daisy-flower,Daisy flower,#D4A0B9
Evolvulus,Evolvulus 'Beach Bum Blue',PERENNIALS,31.svg,small-round-leaf-cluster,Small round leaf cluster,#777BBB
Fan Flower,,PERENNIALS,86.svg,branching-vine-shrub,Branching vine/shrub,#C090B5
Feather Reed Grass 'Karl Foerster',Calamagrostis x 'Karl Foerster',PERENNIALS,64.svg,fine-radial-perennial,Fine radial perennial,#88AB53
Fescue 'Buddy Blue',Festuca glauca 'Buddy Blue',PERENNIALS,69.svg,fan-grass-rosette,Fan grass rosette,#9FB0D6
Fescue 'Elijah Blue',Festuca glauca 'Elijah Blue',PERENNIALS,83.svg,needle-leaf-clump,Needle leaf clump,#8E95CD
Fiber Optic Grass,Scirpus cernuus,PERENNIALS,69.svg,fan-grass-rosette,Fan grass rosette,#8B9C68
Firehouse&#8482; Verbena,Firehouse&#8482; Verbena Series,PERENNIALS,12.svg,airy-branching-plant,Airy branching plant,#98BD94
Flapjack 'Desert Rose',Kalanchoe luciae (K. thyrsiflora) 'Desert Rose',PERENNIALS,95.svg,petal-ring-flower,Petal ring flower,#D682A9
Flowering Kalanchoe,Kalanchoe blossfeldiana,PERENNIALS,45.svg,radial-flower-rosette,Radial flower rosette,#C194B1
Foothill Penstemon 'Margarita BOP',Penstemon heterophyllus 'Margarita BOP',PERENNIALS,41.svg,sharp-star-accent,Sharp star accent,#7674BE
Fountain Grass 'Fireworks',Pennisetum setaceum 'Fireworks',PERENNIALS,25.svg,fine-grass-burst,Fine grass burst,#AFAF5F
Freesia,,PERENNIALS,53.svg,daisy-flower,Daisy flower,#D3B736
French Lavender,Lavandula dentata,PERENNIALS,101.svg,layered-flower-rosette,Layered flower rosette,#8987CF
Fuchsia,Fuchsia magellanica,PERENNIALS,110.svg,dense-broken-shrub,Dense broken shrub,#CC4D51
Fuchsia Hanging Basket,Fuchsia magellanica,PERENNIALS,24.svg,dense-textured-groundcover,Dense textured groundcover,#CF5E5A
Garden Penstemon,Penstemon x gloxinioides,PERENNIALS,18.svg,spiky-grass-burst,Spiky grass burst,#96A6CA
Garvinea&#174; Gerbera Daisy,Gerbera jamesonii 'Garvinea Series',PERENNIALS,53.svg,daisy-flower,Daisy flower,#CB9FC4
Gaura,Gaura lindheimeri,PERENNIALS,78.svg,airy-vine-cluster,Airy vine cluster,#D56A8A
Gaura 'Belleza',Gaura lindheimeri 'Belleza',PERENNIALS,40.svg,airy-branching-flower,Airy branching flower,#E088C7
Gazania,,PERENNIALS,79.svg,split-leaf-accent,Split leaf accent,#C68FB1
Geranium,Pelargonium hortorum 'Vancouver Centennial',PERENNIALS,1.svg,flowering-accent,Flowering accent,#D5A0CB
Gerbera Daisy,Gerbera jamesonii,PERENNIALS,16.svg,large-flowering-plant,Large flowering plant,#C587A6
Germander 'Summer Sunshine',Teucrium chamaedrys 'Summer Sunshine',PERENNIALS,73.svg,cloud-shrub-mound,Cloud shrub mound,#D1AEBF
Gloriosa Daisy,,PERENNIALS,101.svg,layered-flower-rosette,Layered flower rosette,#CB9FB7
Golden Moneywort,Lysimachia nummularia 'Aurea',PERENNIALS,79.svg,split-leaf-accent,Split leaf accent,#DCD046
Grafted Moon Cactus,Gymnocalycium mihanovichii,PERENNIALS,18.svg,spiky-grass-burst,Spiky grass burst,#C883BD
Graptosedum,Graptosedum 'Vera Higgins',PERENNIALS,99.svg,angular-rosette,Angular rosette,#9EBEBB
Green Carpet,Herniaria glabra,PERENNIALS,92.svg,smooth-lobed-groundcover,Smooth lobed groundcover,#C195B1
Green Moneywort,Lysimachia nummularia,PERENNIALS,40.svg,airy-branching-flower,Airy branching flower,#D6A4C5
Green Santolina,Santolina virens,PERENNIALS,5.svg,round-dense-canopy,Round dense canopy,#D8A2D1
Ground Ivy,Glechoma hederacea,PERENNIALS,66.svg,speckled-groundcover-mat,Speckled groundcover mat,#D2A7CF
Northern Lights Tufted Hair Grass,Deschampsia 'Northern Lights',PERENNIALS,48.svg,upright-stem-burst,Upright stem burst,#AAAB68
Hanging Basket 12,Hanging Basket Assorted,PERENNIALS,86.svg,branching-vine-shrub,Branching vine/shrub,#D7A7BD
Havana&#8482; Lantana,,PERENNIALS,14.svg,broadleaf-rosette,Broadleaf rosette,#90BA7E
Haworthia,,PERENNIALS,101.svg,layered-flower-rosette,Layered flower rosette,#C87FB1
Heliotrope,,PERENNIALS,102.svg,flowering-branch-cluster,Flowering branch cluster,#BF8CB9
Hens & Chicks,Sempervivum Assorted,PERENNIALS,74.svg,segmented-radial-plant,Segmented radial plant,#CB81A8
Coral Bells,,PERENNIALS,111.svg,rocky-broken-shrub,Rocky broken shrub,#D0A9C0
Ivy Geranium,Pelargonium peltatum,PERENNIALS,42.svg,wispy-upright-grass,Wispy upright grass,#CB81B8
Ivy 'Hahn's',Hedera helix,PERENNIALS,78.svg,airy-vine-cluster,Airy vine cluster,#CEA2BD
Japanese Blood Grass,Imperata cylindrica 'Red Baron',PERENNIALS,74.svg,segmented-radial-plant,Segmented radial plant,#E1876B
Japanese Forest Grass 'All Gold',Hakonechloa macra 'All Gold',PERENNIALS,100.svg,angular-smooth-rosette,Angular smooth rosette,#DCDB50
Japanese Forest Grass 'Aureola',Hakonechloa macra 'Aureola',PERENNIALS,18.svg,spiky-grass-burst,Spiky grass burst,#8D9A6A
Javelin Forte&#8482; Deep Purple Spanish Lavender,Lavandula stoechas 'Javelin Forte Deep Purple',PERENNIALS,69.svg,fan-grass-rosette,Fan grass rosette,#8C8FC5
Kalanchoe 'Chocolate Soldier',Kalanchoe 'Chocolate Soldier',PERENNIALS,72.svg,simple-leaf-rosette,Simple leaf rosette,#D59BB7
Kalanchoe millotii,Kalanchoe millotii,PERENNIALS,41.svg,sharp-star-accent,Sharp star accent,#B780AE
Kangaroo Paw,Anigozanthos Assorted,PERENNIALS,30.svg,loose-vine-groundcover,Loose vine/groundcover,#D5A0C2
Kangaroo Paw 'Pot-A-Roo',,PERENNIALS,103.svg,radial-spike-canopy,Radial spike canopy,#C18AAC
Silver Carpet Lamb's Ear,Stachys byzantina 'Silver Carpet',PERENNIALS,88.svg,textured-round-shrub,Textured round shrub,#7FABAA
Lamb's Ear,Stachys byzantina,PERENNIALS,88.svg,textured-round-shrub,Textured round shrub,#BE89B4
Lamb's Ear 'Helene Von Stein',Stachys byzantina 'Helen Von Stein',PERENNIALS,55.svg,spiral-round-shrub,Spiral round shrub,#CDA8BC
Lampranthus 'Deltoides',,PERENNIALS,83.svg,needle-leaf-clump,Needle leaf clump,#CB95C5
Landmark&#8482; Lantana,,PERENNIALS,45.svg,radial-flower-rosette,Radial flower rosette,#9FBD8A
Lantana,,PERENNIALS,15.svg,geometric-rosette,Geometric rosette,#92C494
Lucky&#8482; Lantana,,PERENNIALS,82.svg,small-flower-cluster,Small flower cluster,#92BC81
New Gold Lantana,Lantana x 'New Gold',PERENNIALS,82.svg,small-flower-cluster,Small flower cluster,#E3C25E
Lantana 'Trailing Purple',Lantana montevidensis 'Trailing Purple',PERENNIALS,24.svg,dense-textured-groundcover,Dense textured groundcover,#87BE7F
Lantana 'Trailing White',Lantana montevidensis 'Trailing White',PERENNIALS,78.svg,airy-vine-cluster,Airy vine cluster,#C3C8BC
Lascar&#8482; Verbena,Lascar&#8482; Verbena Series,PERENNIALS,78.svg,airy-vine-cluster,Airy vine cluster,#82B17D
Lavender 'Anouk Deep Rose',Lavandula stoechas 'Anouk Rose',PERENNIALS,30.svg,loose-vine-groundcover,Loose vine/groundcover,#D48FB1
Lavender 'Anouk Double',Lavandula stoechas 'Anouk Double',PERENNIALS,69.svg,fan-grass-rosette,Fan grass rosette,#9090CB
Lavender 'Blue Spear',Lavandula angustifolia 'Blue Spear',PERENNIALS,30.svg,loose-vine-groundcover,Loose vine/groundcover,#9A9FD1
Lavender Cotton,Santolina chamaecyparissus,PERENNIALS,30.svg,loose-vine-groundcover,Loose vine/groundcover,#9D96CF
Lavender,Lavandula stoechas 'Otto Quast',PERENNIALS,33.svg,strappy-rosette,Strappy rosette,#968FD1
Lavender 'Super Blue',Lavandula angustifolia 'Super Blue',PERENNIALS,76.svg,dotted-flower-rosette,Dotted flower rosette,#8D95BF
Lavender 'Thumbelina Leigh',Lavandula angustifolia 'Thumbelina Leigh',PERENNIALS,50.svg,bold-spiky-rosette,Bold spiky rosette,#A0ADCB
Lavender 'Goodwin Creek',Lavandula x 'Goodwin Creek',PERENNIALS,69.svg,fan-grass-rosette,Fan grass rosette,#8C8FCA
Lavender 'Grosso',Lavandula x intermedia 'Grosso',PERENNIALS,30.svg,loose-vine-groundcover,Loose vine/groundcover,#8489C3
Lavender 'Hidcote',Lavandula angustifolia 'Hidcote',PERENNIALS,25.svg,fine-grass-burst,Fine grass burst,#A2AAD3
Lavender 'Munstead',Lavandula angustifolia 'Munstead',PERENNIALS,45.svg,radial-flower-rosette,Radial flower rosette,#9FADD1
Lavender 'Provence',Lavandula x intermedia 'Provence',PERENNIALS,41.svg,sharp-star-accent,Sharp star accent,#8B9ECB
Spanish Lavender,Lavandula stoechas,PERENNIALS,108.svg,sharp-radial-grass,Sharp radial grass,#8394C4
Lemon Coral&#174; Sedum,Sedum mexicanum,PERENNIALS,63.svg,round-petal-flower,Round petal flower,#839D9B
Lenten Rose,Helleborus orientalis,PERENNIALS,53.svg,daisy-flower,Daisy flower,#CE7BA1
Licorice Plant,Helichrysum petiolare,PERENNIALS,86.svg,branching-vine-shrub,Branching vine/shrub,#C294B5
Lion's Tail,Leonotis leonurus,PERENNIALS,101.svg,layered-flower-rosette,Layered flower rosette,#CE88B2
Lomandra 'Lime Tuff',Lomandra longifolia 'Lime Tuff',PERENNIALS,42.svg,wispy-upright-grass,Wispy upright grass,#97AA5F
Lupine,Lupine Assorted,PERENNIALS,50.svg,bold-spiky-rosette,Bold spiky rosette,#B780A0
